Entry ID,[Str Pos],[Str Size],[Str Enc],Str Value,[Str Data]
0,0x30,17,Shift_JIS,Lib Handle Start,"""Lib Handle Start"""
1,0x6960,44,Shift_JIS,\nntUtl Ver 3.00 Build:May 12 2000 14:29:55\n,"""\nntUtl Ver 3.00 Build:May 12 2000 14:29:55\n"""
2,0x6990,44,Shift_JIS,\nntInf Ver 4.01 Build:May 12 2000 14:29:56\n,"""\nntInf Ver 4.01 Build:May 12 2000 14:29:56\n"""
3,0x69c4,13,Shift_JIS,sg_dpldr.bin,"""sg_dpldr.bin"""
4,0x69d4,43,Shift_JIS,\nntLD Ver 1.04 Build:Jun 23 2000 21:50:09\n,"""\nntLD Ver 1.04 Build:Jun 23 2000 21:50:09\n"""
5,0x6fe8,5,Shift_JIS,SEGA,"""SEGA"""
6,0x332960,46,Shift_JIS,\nsyStart Ver 1.17 Build:Dec 01 1999 12:17:57\n,"""\nsyStart Ver 1.17 Build:Dec 01 1999 12:17:57\n"""
7,0x332990,3,Shift_JIS,rb,"""rb"""
8,0x3329a8,28,Shift_JIS,CHUNK POF IS HEAP AREA OVER,"""CHUNK POF IS HEAP AREA OVER"""
9,0x3329c4,24,Shift_JIS,Sound Driver Read Error,"""Sound Driver Read Error"""
10,0x3329dc,21,Shift_JIS,Sound Lib Init Error,"""Sound Lib Init Error"""
11,0x3329f4,29,Shift_JIS,Sound Mem Block Create Error,"""Sound Mem Block Create Error"""
12,0x332a14,28,Shift_JIS,Sound Mem Block Param Error,"""Sound Mem Block Param Error"""
13,0x332a30,21,Shift_JIS,Sound Drv Init Error,"""Sound Drv Init Error"""
14,0x332a48,30,Shift_JIS,Sound Mem Block Destroy Error,"""Sound Mem Block Destroy Error"""
15,0x332a68,21,Shift_JIS,MIDI PORT OPEN ERROR,"""MIDI PORT OPEN ERROR"""
16,0x332a80,21,Shift_JIS,MIDI PORT STOP ERROR,"""MIDI PORT STOP ERROR"""
