Entry ID,[Str. pos.],[Str. size],[Str. encoding],Str. value,[Str. data]
0,0x3fc,46,Shift_JIS,Metrowerks Target Resident Kernel for PowerPC,"""Metrowerks Target Resident Kernel for PowerPC"""
1,0x2a92e0,18,Shift_JIS,\nOSDumpHeap(%d):\n,"""\nOSDumpHeap(%d):\n"""
2,0x2a92f4,18,Shift_JIS,--------Inactive\n,"""--------Inactive\n"""
3,0x2a9308,26,Shift_JIS,addr\tsize\t\tend\tprev\tnext\n,"""addr\tsize\t\tend\tprev\tnext\n"""
4,0x2a9324,19,Shift_JIS,--------Allocated\n,"""--------Allocated\n"""
5,0x2a9338,22,Shift_JIS,%4d:\t%x\t%5d\t%x\t%x\t%x\n,"""%4d:\t%x\t%5d\t%x\t%x\t%x\n"""
6,0x2a9350,14,Shift_JIS,--------Free\n,"""--------Free\n"""
7,0x2a9360,36,Shift_JIS,OSCheckHeap: Failed HeapArray in %d,"""OSCheckHeap: Failed HeapArray in %d"""
8,0x2a9384,55,Shift_JIS,OSCheckHeap: Failed 0 <= heap && heap < NumHeaps in %d,"""OSCheckHeap: Failed 0 <= heap && heap < NumHeaps in %d"""
9,0x2a93bc,40,Shift_JIS,OSCheckHeap: Failed 0 <= hd->size in %d,"""OSCheckHeap: Failed 0 <= hd->size in %d"""
10,0x2a93e4,79,Shift_JIS,OSCheckHeap: Failed hd->allocated == NULL || hd->allocated->prev == NULL in %d,"""OSCheckHeap: Failed hd->allocated == NULL || hd->allocated->prev == NULL in %d"""
11,0x2a9434,62,Shift_JIS,"OSCheckHeap: Failed InRange(cell, ArenaStart, ArenaEnd) in %d","""OSCheckHeap: Failed InRange(cell, ArenaStart, ArenaEnd) in %d"""
12,0x2a9474,55,Shift_JIS,"OSCheckHeap: Failed OFFSET(cell, ALIGNMENT) == 0 in %d","""OSCheckHeap: Failed OFFSET(cell, ALIGNMENT) == 0 in %d"""
13,0x2a94ac,73,Shift_JIS,OSCheckHeap: Failed cell->next == NULL || cell->next->prev == cell in %d,"""OSCheckHeap: Failed cell->next == NULL || cell->next->prev == cell in %d"""
